STARTSTATIONNAME,STARTSTATIONARRONDISSEMENT,STARTSTATIONLATITUDE,STARTSTATIONLONGITUDE,ENDSTATIONNAME,ENDSTATIONARRONDISSEMENT,ENDSTATIONLATITUDE,ENDSTATIONLONGITUDE,STARTTIMEMS,ENDTIMEMS
St-Urbain / René-Lévesque,Ville-Marie,45.507838,-73.563136,Mansfield / Ste-Catherine,Ville-Marie,45.5013987,-73.5717863,1653343831220,1653344213703
Roy / St-Laurent,Le Plateau-Mont-Royal,45.515616,-73.575808,Dorion / Rachel,Le Plateau-Mont-Royal,45.531634,-73.5682458,1653343831410,1653344969358
Lajeunesse / Villeray,Villeray - Saint-Michel - Parc-Extension,45.542119,-73.622547,Leman / de Chateaubriand,Villeray - Saint-Michel - Parc-Extension,45.547218,-73.631103,1653343832935,1653344101829
Parc Plage,Ville-Marie,45.502828,-73.527793,de la Commune / King,Ville-Marie,45.497515,-73.552571,1653343837732,1653347197916
Marie-Anne / de la Roche,Le Plateau-Mont-Royal,45.527758,-73.576185,Métro Laurier (Bibaud / Rivard),Le Plateau-Mont-Royal,45.5278391,-73.5895747,1653343832286,1653344140732
2e avenue / Jean-Rivard,Villeray - Saint-Michel - Parc-Extension,45.562509,-73.61656,Durocher / St-Viateur,Outremont,45.5207958,-73.6032707,1653343832469,1653345495661
Métro Atwater (Atwater / Ste-Catherine),Ville-Marie,45.489476,-73.584566,Ste-Émilie / St-Rémi,Le Sud-Ouest,45.4697664,-73.5892588,1653343836945,1653344669846
Place d'Youville / McGill,Ville-Marie,45.4999647,-73.5561544,University / Milton,Ville-Marie,45.506511,-73.576669,1653343847049,1653344690818
de Bleury / de Maisonneuve,Ville-Marie,45.5070965,-73.5684416,de la Commune / St-Sulpice,Ville-Marie,45.504242,-73.55347,1653343836076,1653344360606
Grand Boulevard / de Terrebonne,Côte-des-Neiges - Notre-Dame-de-Grâce,45.470544,-73.63168,Métro Laurier (Berri / St-Joseph),Le Plateau-Mont-Royal,45.527231,-73.586726,1653343835864,1653345677940
Métro Mont-Royal (Rivard / du Mont-Royal),Le Plateau-Mont-Royal,45.524673,-73.58255,Gerry-Boulet / St-Grégoire,Le Plateau-Mont-Royal,45.533735,-73.589307,1653343837987,1653344204610
