code,name,latitude,longitude
6001,Métro Champ-de-Mars (Viger / Sanguinet),45.5101628,-73.5566371
6002,Ste-Catherine / Dezery,45.5393851,-73.5409999
6003,Clark / Ontario,45.5108239,-73.5671715
6004,du Champ-de-Mars / Gosford,45.5096552,-73.5540086
6005,Metcalfe / du Square-Dorchester,45.5002081,-73.5711379
6006,18e avenue / Rosemont,45.5578955,-73.5765291
6007,de l'Hôtel-de-Ville / Ste-Catherine,45.5116605,-73.5621357
6008,Sanguinet / Ste-Catherine,45.5127969,-73.5614625
6009,Crescent / de Maisonneuve,45.4981116,-73.5776154
6901,de Grosbois / Ducheneau,45.6112307,-73.5312416
6011,St-André / St-Antoine,45.5141145,-73.5526447
6012,Métro St-Laurent (de Maisonneuve / St-Laurent),45.5111177,-73.564788
6013,Sanguinet / de Maisonneuve,45.5134055,-73.5625944
6014,St-Denis / René-Lévesque,45.5128712,-73.5584664
6015,BAnQ (Berri / de Maisonneuve),45.515299,-73.561273
6016,Jacques-Le Ber / de la Pointe Nord,45.4726867,-73.5397124
6017,Atateken / du Square Amherst,45.5206338,-73.563906
6018,St-André / Ontario,45.51889,-73.56353
6019,Métro Sherbrooke (de Rigaud / St-Denis),45.5179989,-73.5681841
6020,Sanguinet / Ontario,45.5147672,-73.5654911
6902,Montcalm / Ontario,45.521081,-73.5622752
6023,de la Commune / Berri,45.51086,-73.54983
6024,des Ormeaux / Notre-Dame,45.5992655,-73.5122607
6025,Notre-Dame / St-Gabriel,45.5071439,-73.555119
6026,de la Commune / Place Jacques-Cartier,45.5076101,-73.551836
6027,de Maisonneuve / Mansfield (sud),45.5020539,-73.5734653
6029,Bourget / St-Jacques,45.4808458,-73.5838616
6031,St-Antoine / St-François-Xavier,45.5045907,-73.5591879
6032,Métro Place-d'Armes (Viger / St-Urbain),45.50623,-73.55976
6033,16e avenue / Beaubien,45.5582806,-73.5831589
6035,Viger / Chenneville,45.5053117,-73.5608912
6036,de la Commune / St-Sulpice,45.5042425,-73.5534695
6037,St-Nicolas / Place d'Youville,45.5019669,-73.5551526
6038,McGill / Place d'Youville,45.49975,-73.55566
6039,des Récollets / McGill,45.5008765,-73.5590056
6040,St-Jacques / St-Pierre,45.5027865,-73.5591343
6041,St-Jacques / McGill,45.5014411,-73.5601442
6042,de la Gauchetière / Robert-Bourassa,45.5006058,-73.5654482
6043,Square Victoria (Viger / du Square-Victoria),45.50206,-73.56295
6044,Roy / St-André,45.5215643,-73.5703674
6046,Métro Bonaventure (de la Gauchetière / de la Cathédrale),45.4983122,-73.567256
6204,Milton / Durocher,45.508141,-73.5749298
6048,William / St-Henri,45.4989191,-73.5572541
6049,Queen / Wellington,45.4976053,-73.5553497
6050,St-Maurice / Robert-Bourassa,45.4985778,-73.5602421
6051,Henri-Julien / de Bellechasse,45.5315079,-73.6030836
6052,Normand / Marguerite-d’Youville,45.4997767,-73.5541052
6053,du Président-Kennedy / Jeanne-Mance,45.5082046,-73.5688144
6057,Peel / de la Gauchetiere,45.4977183,-73.5681801
6058,Cypress / Peel,45.4993255,-73.5717675
6059,de la Cathédrale / René-Lévesque,45.4991912,-73.5694206
6060,St-Urbain / René-Lévesque,45.5078375,-73.5631362
6061,Mansfield / Ste-Catherine,45.5013987,-73.5717863
6062,Drummond / Ste-Catherine,45.4986393,-73.5742271
6063,Drummond / de Maisonneuve,45.49947,-73.57591
6064,Métro Peel (de Maisonneuve / Stanley),45.50038,-73.57507
6065,de la Montagne / Sherbrooke,45.4997448,-73.5790336
6067,Quai de la navette fluviale,45.5136663,-73.538425
6068,2e avenue / Jean-Rivard,45.562509,-73.6165604
6070,University / Milton,45.5065112,-73.5766692
6073,de Maisonneuve / Aylmer (ouest),45.505063,-73.5706812
6076,de Ville-Marie / Ste-Catherine,45.5579707,-73.52917
6078,St-Alexandre / Ste-Catherine,45.5052735,-73.5674787
6080,Métro Vendôme (de Marlowe / de Maisonneuve),45.4739303,-73.6047345
6081,Mackay / René-Lévesque,45.494435,-73.5740983
6082,5e avenue / Rosemont,45.5499005,-73.5830837
6083,Cathcart / Union,45.5032952,-73.5684865
6084,Duke / Brennan,45.4955814,-73.5537109
6085,Notre-Dame / Jean-d'Estrées,45.4942598,-73.5638181
6089,Henri-Julien / du Carmel,45.5278394,-73.5948211
6090,Métro Lucien-L'Allier  (Lucien l'Allier / Argyle),45.4948716,-73.5711238
6091,Joseph-Manseau / René-Lévesque,45.4916865,-73.5767671
6092,Crescent / René-Lévesque,45.4959617,-73.5732535
6912,Métro Beaubien (de Chateaubriand / Beaubien),45.53536,-73.6036348
6194,Métro Atwater (Atwater / Ste-Catherine),45.4894762,-73.5845657
6095,Chomedey / de Maisonneuve,45.4918003,-73.5840064
6096,Lucien L'Allier / St-Jacques,45.4935692,-73.5685757
6097,Ste-Catherine / St-Marc,45.4929068,-73.5802822
6098,Bishop / Ste-Catherine,45.4965833,-73.5765016
6099,Ste-Catherine / Labelle,45.5151034,-73.5593009
6100,Mackay / de Maisonneuve,45.4968299,-73.5791302
6101,Métro Villa-Maria (de Monkland / Décarie),45.4789684,-73.6195993
6102,Lincoln / du Fort,45.493034,-73.583836
6103,Lespérance / de Rouen,45.5388145,-73.5526778
6104,Wolfe / René-Lévesque,45.5168175,-73.5541883
6105,Plessis / René-Lévesque,45.5193725,-73.5519581
6106,Papineau / René-Lévesque,45.52114,-73.54926
6107,St-Mathieu / Ste-Catherine,45.4936796,-73.5791463
6108,Logan / Fullum,45.528366,-73.5511708
6109,Parc Plage,45.5026587,-73.5275352
6110,Poupart / Ste-Catherine,45.5290021,-73.5461994
6111,Parthenais / Ste-Catherine,45.5260059,-73.5488641
6112,Montcalm / de Maisonneuve,45.5191392,-73.5578656
6113,Alexandre-DeSève / Ste-Catherine,45.5212304,-73.5538611
6114,Métro Papineau (Cartier / Ste-Catherine),45.52353,-73.55199
6115,Benny / de Monkland,45.4669357,-73.6315311
6116,Plessis / Ontario,45.5234921,-73.5607302
6117,de Maisonneuve / Aylmer (est),45.5053859,-73.5704318
6118,de Champlain / Ontario,45.5251095,-73.5602058
6119,Dorion / Ontario,45.5269913,-73.5582116
6120,Métro Frontenac (Ontario / du Havre),45.533706,-73.5521793
6121,du Havre / de Rouen,45.5345626,-73.5547865
6122,Fullum / Ontario,45.5303174,-73.5548669
6123,Alexandre-de-Sève / la Fontaine,45.523306,-73.5582237
6124,Poupart / Ontario,45.5319389,-73.5534386
6125,Ellendale / de la Côte-des-Neiges,45.499757,-73.629298
6126,de Rouen / Fullum,45.5321632,-73.5585429
6127,Henri-Julien / de Castelnau,45.5378911,-73.6182153
6128,Hogan / Ontario,45.5352955,-73.5511601
6130,Sherbrooke / Frontenac,45.5367,-73.56081
6131,Fullum / Sherbrooke,45.533924,-73.562425
6133,Chapleau / Terrasse Mercure,45.5367384,-73.5651666
6129,de Bordeaux / Sherbrooke,45.5299707,-73.563053
6202,Ste-Famille / Sherbrooke,45.5100715,-73.5707523
6047,University / Prince-Arthur,45.5074017,-73.5784435
6079,Hutchison / Prince-Arthur,45.5097586,-73.5761073
6022,André-Laurendeau / Rachel,45.5428642,-73.5618822
6093,Atwater / Sherbrooke,45.4912259,-73.5876301
6913,Drolet / Beaubien,45.533348,-73.605834
6915,de Gaspé / Beaubien,45.5319579,-73.607001
6916,Parc du Pélican (2e avenue / St-Joseph),45.544513,-73.571564
6918,Marquette / des Carrières,45.5387993,-73.5887003
6923,Marquette / Jean-Talon,45.5474078,-73.6076689
6925,Louis-Hémon / Jean-Talon,45.5517743,-73.6034784
6072,Metcalfe / de Maisonneuve,45.5017149,-73.5741305
6075,Drolet / Marie-Anne,45.5224026,-73.5811767
6134,Bercy / Rachel,45.5384034,-73.561964
6132,Larivière / de Lorimier,45.5291345,-73.5592335
6136,Métro Laurier (Rivard / Laurier),45.5276163,-73.5891147
6137,Gauthier / Papineau,45.5296663,-73.5673365
6138,Gauthier / de Lorimier,45.5316747,-73.5653704
6139,Gauthier / Parthenais,45.5329263,-73.5637799
6140,Marquette / Rachel,45.5298016,-73.5702896
6141,des Érables / Rachel,45.5335475,-73.5668671
6142,Calixa-Lavallée / Rachel,45.5277948,-73.5719392
6143,Rachel / de Brébeuf,45.52689,-73.57264
